Timestamp,In which region do you live?,What is your gender,How old are you?,Please give details of your school education,What is your occupation?,Are you aware of the novel coronavirus outbreak?,What do you know about the new coronavirus disease?,What kind of information have you received about the disease?                                                                                Mark all answers that are true:,Where did you hear about the new coronavirus from? Mark all channels that you heard about the disease from:,Which channel/who do you trust the most to receive information related tocoronavirus? Check the best channel for you to receive coronavirus information from:,How dangerous do you think the new coronavirus risk is? Choose the best answer that matches your belief about the disease:,Who do you think is at highest risk to get the coronavirus? Mark all those you think are likely to become sick:,Do you think you are likely to become sick with the new coronavirus ?,How does the coronavirus spread? Mark all the ways you think the disease spreads:,What are the main symptoms? Mark all the symptoms you think are caused by the new coronavirus:,Do you know how to prevent it? Choose all the prevention steps you know about:,What have you and your family done to to prevent becoming sick with coronavirus in the recent days?Mark all steps that you have taken:,Do you consider important to take actions to prevent the spread of coronavirus in your community?,What to do if you or someone from your family has symptoms of this disease? Mark all the actions you would take:,What more would you like to know about the disease?Choose all topics that you would like to know about:,Do you think the coronavirus disease is generating stigma against specific people? ,(If yes) Which group is being dis-criminated in your community because of coronavirus?,What do you usually do if you have a regular flu? Mark the 1-2 most typical actions you take:,From where/who do you usually receive information on flu and other diseases? Choose as many channels as you have heard about regular flu from:
2020/05/09 3:47:08 AM GMT,Western North,Female,25,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,Radio;TV;WhatsApp;Social Media (not WhatsApp),Radio;TV;Health unit/Health care worker,Very dangerous,Children under 5 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Don´t know,Direct contact with infected people.,Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;What to do if you have the symptoms,Yes,Chinese,"stay at home, so I don’t infect others;I go to the health unit",Radio;TV;Health unit/Health care worker;Community health workers
2020/05/09 4:19:11 AM GMT,Central,Female,21,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;Risks and complications,Radio;TV;Family members;Friends;Community health workers,Radio;TV;Health unit/Health care worker,Very dangerous,Adolescents up to 15 years old;Youth;Adults;Elderly persons,No,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties,Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,Yes,Chinese,"stay at home, so I don’t infect others",Radio;TV;Health unit/Health care worker
2020/05/09 4:31:02 AM GMT,Western,Female,29,Tertiary/University,Student teacher,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Religious leaders,Radio;TV;WhatsApp,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Yes,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing,"Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid going to crowded places, practising social distancing protocols and wearing of face when going out.",Yes,I would stay in quarantine,Most at risk groups,No,,"stay at home, so I don’t infect others;I wear a mask",Radio;TV
2020/05/09 5:27:59 AM GMT,Western,Male,27,Tertiary/University,Teacher,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Red Cross Red Crescent volunteers;Community leaders;Religious leaders;Any person from the community,Social Media (not WhatsApp);Health unit/Health care worker;Community health workers;Red Cross Red Crescent volunteers;Community leaders;Religious leaders,Very dangerous,Elderly persons,No,Blood transfusion;Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces;Sexual intercourse contact;Contact with contaminated animals,Fever;Cough;Muscle pain;Headache,Sleep under the mosquito net;Drink only treated water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,No,,"Nothing, I continue with my normal life, after some time the flu goes away",Family members;Friends;Any person from the community
2020/05/09 5:55:09 AM GMT,Central,Female,24,Tertiary/University,Students Teacher,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,Radio;TV;WhatsApp;Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders;Religious leaders,Radio;TV;Health unit/Health care worker;Family members;Friends;Community health workers;Religious leaders,Very dangerous,Elderly persons;Pregnant women;Health workers,Don´t know,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Sexual intercourse contact,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;What to do if you have the symptoms;How to treat it,Yes,Chinese;Italians,"stay at home, so I don’t infect others;I wear a mask;I go to the health unit",Radio;TV;Health unit/Health care worker;Family members;Friends;Community health workers;Other community mobilisers;Community leaders;Religious leaders;Any person from the community
2020/05/09 6:02:53 AM GMT,Central,Female,23,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Religious leaders;Any person from the community,TV,Very dangerous,Health workers,No,Droplets from infected people;Direct contact with infected people.,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Asian,I wear a mask;I go to the health unit,Radio;TV;Health unit/Health care worker;Family members;Community health workers
2020/05/09 6:03:08 AM GMT,Western,Female,26,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Family members;Friends;Other community mobilisers;Religious leaders;Any person from the community,Radio;TV;WhatsApp;Health unit/Health care worker;Community health workers;Religious leaders,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Pregnant women;Health workers,Yes,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache;Diarrhea,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Chinese;Italians,"Nothing, I continue with my normal life, after some time the flu goes away;I go to the health unit",Radio;TV;Health unit/Health care worker;Family members;Friends;Any person from the community
2020/05/09 6:05:53 AM GMT,Ashanti,Female,21,Tertiary/University,student ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Friends;Religious leaders;Any person from the community,TV,More or less dangerous,Adolescents up to 15 years old;Youth;Adults;Elderly persons;Health workers,Yes,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will look for a more experienced relative to advise me on what to do;I will go to the hospital / health unit;I would stay in quarantine,How it is transmitted;Most at risk groups;How to treat it,Yes,Chinese;Italians,I have never had the flu,Radio;TV
2020/05/09 6:12:17 AM GMT,Western,Female,20,Tertiary/University,Student ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Family members;Friends,Radio;TV;WhatsApp,Very dangerous,Children under 5 years old;Elderly persons;Pregnant women;Health workers,Don´t know,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties;Headache;Diarrhea,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,What to do if you have the symptoms;How to treat it,Yes,Chinese;Italians,"Nothing, I continue with my normal life, after some time the flu goes away",Family members;Friends
2020/05/09 6:14:02 AM GMT,Western,Female,25,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;Social Media (not WhatsApp);Family members,Radio;TV;Health unit/Health care worker,Very dangerous,Youth;Health workers,Don´t know,Droplets from infected people;Direct contact with infected people.;Sexual intercourse contact,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well,Yes,I will go to the hospital / health unit;I would stay in quarantine,How it is transmitted;What to do if you have the symptoms;How to treat it,Yes,Chinese,I wear a mask;I go to the health unit,Radio;TV;Health unit/Health care worker;Family members;Friends;Community leaders
2020/05/09 6:42:14 AM GMT,Central,Female,21,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Any person from the community,Radio;TV;Health unit/Health care worker;Community health workers,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Yes,Blood transfusion;Droplets from infected people;Airborne;Direct contact with infected people.,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well,Yes,I will go to the hospital / health unit;I will go to the neighborhood nurse;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Chinese,I have never had the flu,Radio;TV;Health unit/Health care worker;Community health workers
2020/05/09 6:49:58 AM GMT,Western,Female,19,Tertiary/University,teacher,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications;treatment,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Red Cross Red Crescent volunteers;Other community mobilisers;Community leaders;Religious leaders;Traditional healers;Traditional midwives,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Red Cross Red Crescent volunteers;Other community mobilisers;Community leaders;Religious leaders;Traditional healers;Traditional midwives;Any person from the community,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Health workers,Yes,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals;social distance,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals;social distance ,Yes,I will go to the hospital / health unit;I will go to the neighborhood nurse;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;How to treat it,Yes,Chinese;Asian;Italians,I have never had the flu,Radio;TV;Health unit/Health care worker;Family members;Friends;Community health workers;Other community mobilisers;Religious leaders;Traditional healers
2020/05/09 6:52:53 AM GMT,Greater Accra,Female,21,Tertiary/University,Odorkor,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Red Cross Red Crescent volunteers;Other community mobilisers;Community leaders;Religious leaders;Traditional healers;Traditional midwives;Any person from the community,Radio;TV;Social Media (not WhatsApp);Community health workers,Very dangerous,Youth;Adults;Elderly persons;Health workers,Yes,Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Sexual intercourse contact,Fever;Cough;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,Symptoms of the new coronavirus disease;What to do if you have the symptoms,No,Italians,I wear a mask;I go to the health unit,Radio;TV
2020/05/09 7:03:27 AM GMT,Western,Female,21,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;Family members,Radio;TV,Very dangerous,Elderly persons,No,Airborne,Fever;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Drink only treated water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Eliminate standing water,Yes,I will go to the hospital / health unit;I would stay in quarantine,Most at risk groups,No,Chinese;Italians,"I have never had the flu;stay at home, so I don’t infect others;I wear a mask",Radio;TV
2020/05/09 7:40:48 AM GMT,Western,Female,20,Tertiary/University,Schooling ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Friends,Radio;TV;WhatsApp,Very dangerous,Children under 5 years old;Adults;Elderly persons;Pregnant women;Health workers,Yes,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;Most at risk groups,Yes,Those who have been healed from the disease ,"stay at home, so I don’t infect others;I wear a mask;I go to the health unit",Radio;TV;Health unit/Health care worker
2020/05/09 7:49:48 AM GMT,Western,Female,21,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders;Religious leaders,Radio;TV;Social Media (not WhatsApp);Health unit/Health care worker;Community health workers,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Elderly persons,Yes,Blood transfusion;Droplets from infected people;Airborne;Direct contact with infected people.,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will look for a more experienced relative to advise me on what to do;I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Chinese,"I have never had the flu;Nothing, I continue with my normal life, after some time the flu goes away;stay at home, so I don’t infect others;I wear a mask",Radio;TV;Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders
2020/05/09 8:04:44 AM GMT,Western,Female,23,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Religious leaders,TV;Health unit/Health care worker,More or less dangerous,Youth;Adults;Elderly persons;Pregnant women;Health workers,No,Blood transfusion;Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces;Contact with contaminated animals;Eating contaminated food;Drinking unclean water,Fever;Cough,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will look for a more experienced relative to advise me on what to do;I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;How it is transmitted;What to do if you have the symptoms,No,,"Nothing, I continue with my normal life, after some time the flu goes away;stay at home, so I don’t infect others",TV
2020/05/09 8:10:56 AM GMT,Western,Female,21,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV,Radio;TV,More or less dangerous,Youth,No,Airborne;Direct contact with infected people.,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups,No,Dont know,I have never had the flu,Radio;TV;Health unit/Health care worker;Community health workers
2020/05/09 8:29:43 AM GMT,Western,Female,22,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;Social Media (not WhatsApp);Family members;Friends;Any person from the community,Radio;TV;Social Media (not WhatsApp);Health unit/Health care worker,Very dangerous,Youth;Adults;Elderly persons,No,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,Most at risk groups,Yes,Chinese,I wear a mask;I go to the health unit,Radio;TV;Friends
2020/05/09 8:30:36 AM GMT,Western,Female,23,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Family members;Friends;Religious leaders,Radio;TV;WhatsApp;Social Media (not WhatsApp);Family members;Friends;Religious leaders,More or less dangerous,Youth;Adults;Elderly persons;Pregnant women;Health workers,Yes,Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Headache;Diarrhea,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;How to treat it,Yes,Chinese;Italians,"Nothing, I continue with my normal life, after some time the flu goes away;I go to the health unit",Radio;TV;Family members;Friends;Religious leaders
2020/05/09 8:41:23 AM GMT,Western,Female,24,Tertiary/University,Teacher.,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;What to do if you have the symptoms,Radio;TV;Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders;Religious leaders;Any person from the community,Radio;TV;Family members;Community leaders;Religious leaders,Very dangerous,Children under 5 years old;Adults;Elderly persons;Pregnant women;Health workers,No,Blood transfusion;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Sexual intercourse contact,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Asian,"stay at home, so I don’t infect others;I go to the health unit",Radio;TV;Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders;Religious leaders;Any person from the community
2020/05/09 8:47:17 AM GMT,Ashanti,Female,23,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Health unit/Health care worker;Any person from the community,Radio;TV;Health unit/Health care worker;Community health workers;Any person from the community,Very dangerous,Adolescents up to 15 years old;Youth;Adults;Elderly persons;Health workers,Don´t know,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Drink only treated water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;How it is transmitted;How to treat it,Yes,Chinese,"Nothing, I continue with my normal life, after some time the flu goes away;I go to the health unit",Radio;TV;Health unit/Health care worker;Any person from the community
2020/05/09 9:15:36 AM GMT,Central,Female,26,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community leaders;Religious leaders,Radio;TV;WhatsApp;Social Media (not WhatsApp);Friends,Very dangerous,Youth;Adults,No,Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;How to treat it,Yes,Chinese;Asian;Italians,"stay at home, so I don’t infect others;I go to the health unit",Radio;TV;Health unit/Health care worker;Family members;Friends
2020/05/09 9:16:30 AM GMT,Western,Female,25,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Family members;Friends;Community leaders;Any person from the community,Radio;TV;Social Media (not WhatsApp);Health unit/Health care worker,Very dangerous,Youth;Adults;Elderly persons;Health workers,Don´t know,Airborne;Direct contact with infected people.,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit,Symptoms of the new coronavirus disease,No,Chinese,"stay at home, so I don’t infect others;I go to the health unit",Radio;TV
